PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
1,0,3,0,22.0,1,0,7.25
2,1,1,1,38.0,1,0,71.2833
3,1,3,1,26.0,0,0,7.925
4,1,1,1,35.0,1,0,53.1
5,0,3,0,35.0,0,0,8.05
7,0,1,0,54.0,0,0,51.8625
8,0,3,0,2.0,3,1,21.075
9,1,3,1,27.0,0,2,11.1333
10,1,2,1,14.0,1,0,30.0708
11,1,3,1,4.0,1,1,16.7
12,1,1,1,58.0,0,0,26.55
13,0,3,0,20.0,0,0,8.05
14,0,3,0,39.0,1,5,31.275
15,0,3,1,14.0,0,0,7.8542
16,1,2,1,55.0,0,0,16.0
17,0,3,0,2.0,4,1,29.125
19,0,3,1,31.0,1,0,18.0
21,0,2,0,35.0,0,0,26.0
22,1,2,0,34.0,0,0,13.0
23,1,3,1,15.0,0,0,8.0292
24,1,1,0,28.0,0,0,35.5
25,0,3,1,8.0,3,1,21.075
26,1,3,1,38.0,1,5,31.3875
28,0,1,0,19.0,3,2,263.0
31,0,1,0,40.0,0,0,27.7208
34,0,2,0,66.0,0,0,10.5
35,0,1,0,28.0,1,0,82.1708
36,0,1,0,42.0,1,0,52.0
38,0,3,0,21.0,0,0,8.05
39,0,3,1,18.0,2,0,18.0
40,1,3,1,14.0,1,0,11.2417
41,0,3,1,40.0,1,0,9.475
42,0,2,1,27.0,1,0,21.0
44,1,2,1,3.0,1,2,41.5792
45,1,3,1,19.0,0,0,7.8792
50,0,3,1,18.0,1,0,17.8
51,0,3,0,7.0,4,1,39.6875
52,0,3,0,21.0,0,0,7.8
53,1,1,1,49.0,1,0,76.7292
54,1,2,1,29.0,1,0,26.0
55,0,1,0,65.0,0,1,61.9792
57,1,2,1,21.0,0,0,10.5
58,0,3,0,28.5,0,0,7.2292
59,1,2,1,5.0,1,2,27.75
60,0,3,0,11.0,5,2,46.9
61,0,3,0,22.0,0,0,7.2292
62,1,1,1,38.0,0,0,80.0
63,0,1,0,45.0,1,0,83.475
64,0,3,0,4.0,3,2,27.9
67,1,2,1,29.0,0,0,10.5
68,0,3,0,19.0,0,0,8.1583
69,1,3,1,17.0,4,2,7.925
70,0,3,0,26.0,2,0,8.6625
71,0,2,0,32.0,0,0,10.5
72,0,3,1,16.0,5,2,46.9
73,0,2,0,21.0,0,0,73.5
74,0,3,0,26.0,1,0,14.4542
75,1,3,0,32.0,0,0,56.4958
76,0,3,0,25.0,0,0,7.65
79,1,2,0,0.83,0,2,29.0
80,1,3,1,30.0,0,0,12.475
81,0,3,0,22.0,0,0,9.0
82,1,3,0,29.0,0,0,9.5
84,0,1,0,28.0,0,0,47.1
85,1,2,1,17.0,0,0,10.5
86,1,3,1,33.0,3,0,15.85
87,0,3,0,16.0,1,3,34.375
89,1,1,1,23.0,3,2,263.0
90,0,3,0,24.0,0,0,8.05
91,0,3,0,29.0,0,0,8.05
92,0,3,0,20.0,0,0,7.8542
93,0,1,0,46.0,1,0,61.175
94,0,3,0,26.0,1,2,20.575
95,0,3,0,59.0,0,0,7.25
97,0,1,0,71.0,0,0,34.6542
98,1,1,0,23.0,0,1,63.3583
99,1,2,1,34.0,0,1,23.0
100,0,2,0,34.0,1,0,26.0
101,0,3,1,28.0,0,0,7.8958
103,0,1,0,21.0,0,1,77.2875
